tempChr,C,C7,Cm,C°,C4,C?,C#,C#7,C#m,C#°,C#4,C#?,D,D7,Dm,D°,D4,D?,D#,D#7,D#m,D#°,D#4,D#?,E,E7,Em,E°,E4,E?,F,F7,Fm,F°,F4,F?,F#,F#7,F#m,F#°,F#4,F#?,G,G7,Gm,G°,G4,G?,G#,G#7,G#m,G#°,G#4,G#?,A,A7,Am,A°,A4,A?,A#,A#7,A#m,A#°,A#4,A#?,B,B7,Bm,B°,B4,B?,?
C,0,10,13,1,3,0,3,7,4,5,0,0,11,4,6,6,0,0,2,1,0,12,0,0,0,5,7,0,0,0,1,6,3,0,0,0,0,4,3,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,13,0,1,0,12,1,0,0,0,0,0,9,5,0,0,0,0
C7,2,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,7,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,5,3,0,0,0,0
Cm,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,3,24,1,0,4,0,1,1,0,0,0,0,12,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,7,8,1,0,0,0
C°,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
C#7,12,4,5,1,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,6,0,0,0,3,2,12,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0
C#m,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
C#°,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C#4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,13,2,1,0,0,0,3,8,0,0,1,0,0,10,4,3,0,0,4,2,2,0,2,0,0,4,0,0,0,0,4,0,0,9,0,0,0,0,0,1,0,0,2,3,4,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,8,0,0,0,0
D7,2,0,0,0,0,0,2,14,0,0,0,0,3,0,24,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,32,13,26,0,5,0,0,0,0,6,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0
Dm,14,1,2,0,0,0,4,3,0,0,0,0,2,1,0,15,0,0,0,2,0,5,0,0,2,13,8,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,1,83,10,0,8,0,0,1,0,4,0,0,4,0,19,0,0,0,0,2,9,0,0,0,0,0,7,0,0,0,0
D°,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
D4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D#,2,0,7,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,2,5,0,0,0,1,1,2,4,0,0,1,2,0,0,0,0,2,1,0,4,0,0,7,2,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
D#7,0,0,3,0,0,0,0,2,0,0,0,0,11,9,2,0,1,0,1,0,9,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,14,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
D#m,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0
D#°,3,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D#4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D#?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E7,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,6,9,47,0,16,0,1,0,2,1,0,0,0,0,0,0,0,0,0
Em,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,1,0,3,3,0,0,6,0,1,0,0,3,0,0,6,0,0,0,5,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,49,7,0,4,0,1,0,0,0,0,0,6,4,17,0,0,0,0
E°,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,2,4,3,0,1,0,1,3,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,17,2,0,0,2,6,2,1,0,0,0,10,5,0,1,0,0,0,0,10,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0
F7,7,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,4,1,3,0,1,0,1,0,7,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24,7,12,0,0,0,0,1,1,0,0,0,0
Fm,15,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,10,4,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,15,2,0,3,0,0,0,0,0,0,0,0
F°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F#,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
F#7,2,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,3,8,0,0,0,0
F#m,0,0,0,0,0,0,6,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,6,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,15,5,0,2,0,0
F#°,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
F#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
F#?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,9,2,8,0,0,0,0,1,3,0,0,0,1,7,2,0,1,0,15,3,0,0,1,0,0,4,8,0,1,0,1,0,0,0,0,0,0,5,2,0,3,0,0,2,11,0,0,0,2,1,0,0,0,0,0,5,3,0,0,0,0,0,2,2,0,0,0,0,10,0,0,0,0
G7,36,19,11,0,1,0,0,4,5,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,3,0,11,0,0,0,0,8,0,0,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Gm,0,24,14,0,12,0,0,0,0,0,0,0,14,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,8,8,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
G°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G#,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,4,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G#7,2,0,0,0,0,0,8,0,4,0,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
G#m,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
G#°,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G#?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A7,0,0,0,0,0,0,1,0,0,0,0,0,21,15,48,1,7,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,5,2,0,0,0,0,1,0,7,0,1,0,0,5,0,1,0,0,0,0,1,0,0,0,0
Am,2,0,7,0,0,0,0,1,0,0,0,0,0,53,20,0,1,0,3,0,0,1,0,0,0,1,6,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,2,0,8,0,0,0,6,10,2,7,0,0,0,2,0,10,2,0,1,0,0,2,2,0,0,4,8,1,0,0,0
A°,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
A4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A#,7,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,5,10,0,0,0,0,0,2,6,0,0,0,4,3,2,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,10,0,2,0,0,4,6,0,0,0,1,4,0,0,0,0,0
A#7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,6,9,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,4,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
A#m,0,3,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
A#°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0
A#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
A#?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,1,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B7,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,17,14,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0,0
Bm,0,0,1,2,0,0,0,3,0,0,0,0,0,12,0,0,0,0,1,1,2,0,0,0,0,44,9,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,3,5,0,0,0,8,0,15,0,0,0
B°,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
B?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0